instance,family,strategy,feasible,vehicle_count,total_distance,total_waiting,total_load,capacity_vehicle_lower_bound,vehicle_excess_over_capacity_lb,duplicate_customers,missing_customers,infeasible_routes,runtime_seconds,new_routes_created
R2_10_3,R2,earliest_due,True,19,57332.89513336134,21910.667118427038,18118.0,19,0,0,0,0,3.1491389999864623,19
R2_10_3,R2,earliest_ready,True,21,58160.93856863101,30969.542202277902,18118.0,19,2,0,0,0,3.0019985999679193,21
R2_10_3,R2,largest_demand,True,25,73850.87471947928,70167.01574200098,18118.0,19,6,0,0,0,3.2255651000887156,25
R2_10_3,R2,farthest_from_depot,True,19,49421.877954931064,61308.547569896095,18118.0,19,0,0,0,0,3.13411119999364,19
R2_10_4,R2,earliest_due,True,19,43964.11811196259,16932.62430697418,18118.0,19,0,0,0,0,2.8161403000121936,19
R2_10_4,R2,earliest_ready,True,23,49132.40422972659,41933.13222579818,18118.0,19,4,0,0,0,2.8874504000414163,23
R2_10_4,R2,largest_demand,True,23,65998.24426817475,61663.97403732084,18118.0,19,4,0,0,0,3.1547884000465274,23
R2_10_4,R2,farthest_from_depot,True,21,41635.38043367692,77596.67971873636,18118.0,19,2,0,0,0,2.805920600076206,21
R2_10_5,R2,earliest_due,True,22,74697.00881440332,47982.94996845798,18118.0,19,3,0,0,0,3.7508935999358073,22
R2_10_5,R2,earliest_ready,True,22,74697.00881440332,47982.94996845798,18118.0,19,3,0,0,0,3.7131844999967143,22
R2_10_5,R2,largest_demand,True,27,103863.81954288772,55995.29560979352,18118.0,19,8,0,0,0,3.3557016000850126,27
R2_10_5,R2,farthest_from_depot,True,19,68226.7160860328,46428.59242349355,18118.0,19,0,0,0,0,3.3057550999801606,19
R2_10_6,R2,earliest_due,True,19,65649.59376473357,31180.627743845213,18118.0,19,0,0,0,0,3.6335262999637052,19
R2_10_6,R2,earliest_ready,True,23,68565.67520435948,49569.061657976315,18118.0,19,4,0,0,0,3.291097900015302,23
